type;n;algorithm;time_microseconds;char_comparisons
random;800;MSD_RADIX_QUICK_SORT;164;2146
reverse;800;QUICKSORT;2465;120376
reverse;800;MERGESORT;1072;5744
reverse;800;STRING_QUICK_SORT;820;33305
reverse;800;STRING_MERGE_SORT;1160;9792
reverse;800;MSD_RADIX_SORT;782;0
reverse;800;MSD_RADIX_QUICK_SORT;196;4102
almost;800;QUICKSORT;2401;116107
almost;800;MERGESORT;1067;7399
almost;800;STRING_QUICK_SORT;393;14347
almost;800;STRING_MERGE_SORT;1203;13042
almost;800;MSD_RADIX_SORT;711;0
almost;800;MSD_RADIX_QUICK_SORT;182;2364
prefix;800;QUICKSORT;5938;299976
prefix;800;MERGESORT;3681;140348
prefix;800;STRING_QUICK_SORT;365;22365
prefix;800;STRING_MERGE_SORT;2653;146543
prefix;800;MSD_RADIX_SORT;2223;0
prefix;800;MSD_RADIX_QUICK_SORT;1699;1894
random;900;QUICKSORT;2831;135718
random;900;MERGESORT;1328;10139
random;900;STRING_QUICK_SORT;301;10440
random;900;STRING_MERGE_SORT;1504;17842
random;900;MSD_RADIX_SORT;751;0
random;900;MSD_RADIX_QUICK_SORT;185;2552
reverse;900;QUICKSORT;2360;120441
reverse;900;MERGESORT;1147;6516
reverse;900;STRING_QUICK_SORT;886;36541
reverse;900;STRING_MERGE_SORT;1229;11088
reverse;900;MSD_RADIX_SORT;810;0
reverse;900;MSD_RADIX_QUICK_SORT;224;5111
almost;900;QUICKSORT;2334;118649
almost;900;MERGESORT;1232;8908
almost;900;STRING_QUICK_SORT;506;20449
almost;900;STRING_MERGE_SORT;1398;15701
almost;900;MSD_RADIX_SORT;772;0
almost;900;MSD_RADIX_QUICK_SORT;188;2894
prefix;900;QUICKSORT;6821;344628
prefix;900;MERGESORT;4243;162262
prefix;900;STRING_QUICK_SORT;427;25419
prefix;900;STRING_MERGE_SORT;3048;169545
prefix;900;MSD_RADIX_SORT;2544;0
prefix;900;MSD_RADIX_QUICK_SORT;1932;2333
random;1000;QUICKSORT;3263;157865
random;1000;MERGESORT;1482;11611
random;1000;STRING_QUICK_SORT;304;10264
random;1000;STRING_MERGE_SORT;1676;20317
random;1000;MSD_RADIX_SORT;878;0
random;1000;MSD_RADIX_QUICK_SORT;211;3031
reverse;1000;QUICKSORT;2315;117932
reverse;1000;MERGESORT;1268;7225
reverse;1000;STRING_QUICK_SORT;981;41042
reverse;1000;STRING_MERGE_SORT;1363;12269
reverse;1000;MSD_RADIX_SORT;903;0
reverse;1000;MSD_RADIX_QUICK_SORT;256;6149
almost;1000;QUICKSORT;2469;124182
almost;1000;MERGESORT;1385;10025
almost;1000;STRING_QUICK_SORT;465;18097
almost;1000;STRING_MERGE_SORT;1549;17589
almost;1000;MSD_RADIX_SORT;883;0
almost;1000;MSD_RADIX_QUICK_SORT;215;3308
prefix;1000;QUICKSORT;8132;389369
prefix;1000;MERGESORT;4869;182546
prefix;1000;STRING_QUICK_SORT;502;29999
prefix;1000;STRING_MERGE_SORT;3486;190612
prefix;1000;MSD_RADIX_SORT;2817;0
prefix;1000;MSD_RADIX_QUICK_SORT;2119;2735
random;1100;QUICKSORT;3749;168337
random;1100;MERGESORT;1693;13055
random;1100;STRING_QUICK_SORT;340;11393
random;1100;STRING_MERGE_SORT;1890;22772
random;1100;MSD_RADIX_SORT;1001;0
random;1100;MSD_RADIX_QUICK_SORT;234;3441
reverse;1100;QUICKSORT;2907;136162
reverse;1100;MERGESORT;1469;8289
reverse;1100;STRING_QUICK_SORT;1131;45731
reverse;1100;STRING_MERGE_SORT;1569;14021
reverse;1100;MSD_RADIX_SORT;949;0
reverse;1100;MSD_RADIX_QUICK_SORT;301;7453
almost;1100;QUICKSORT;2887;139000
almost;1100;MERGESORT;1538;11352
almost;1100;STRING_QUICK_SORT;566;21760
almost;1100;STRING_MERGE_SORT;1789;19868
almost;1100;MSD_RADIX_SORT;937;0
almost;1100;MSD_RADIX_QUICK_SORT;239;3932
prefix;1100;QUICKSORT;9381;475049
prefix;1100;MERGESORT;5335;204964
prefix;1100;STRING_QUICK_SORT;513;31839
prefix;1100;STRING_MERGE_SORT;3827;214135
prefix;1100;MSD_RADIX_SORT;3048;0
prefix;1100;MSD_RADIX_QUICK_SORT;2257;3135
random;1200;QUICKSORT;3777;182833
random;1200;MERGESORT;1920;14515
random;1200;STRING_QUICK_SORT;387;12214
random;1200;STRING_MERGE_SORT;2138;25293
random;1200;MSD_RADIX_SORT;1064;0
random;1200;MSD_RADIX_QUICK_SORT;274;3813
reverse;1200;QUICKSORT;3140;160001
reverse;1200;MERGESORT;1663;9480
reverse;1200;STRING_QUICK_SORT;1262;50744
reverse;1200;STRING_MERGE_SORT;1761;15912
reverse;1200;MSD_RADIX_SORT;1108;0
reverse;1200;MSD_RADIX_QUICK_SORT;339;8702
almost;1200;QUICKSORT;3124;158618
almost;1200;MERGESORT;1784;12401
almost;1200;STRING_QUICK_SORT;709;26620
almost;1200;STRING_MERGE_SORT;1898;21654
almost;1200;MSD_RADIX_SORT;1050;0
almost;1200;MSD_RADIX_QUICK_SORT;266;4385
prefix;1200;QUICKSORT;9950;508294
prefix;1200;MERGESORT;5851;226815
prefix;1200;STRING_QUICK_SORT;601;36183
prefix;1200;STRING_MERGE_SORT;4398;236916
prefix;1200;MSD_RADIX_SORT;3317;0
prefix;1200;MSD_RADIX_QUICK_SORT;2513;3608
random;1300;QUICKSORT;4241;199109
random;1300;MERGESORT;2068;16105
random;1300;STRING_QUICK_SORT;376;12561
random;1300;STRING_MERGE_SORT;2333;27955
random;1300;MSD_RADIX_SORT;1202;0
random;1300;MSD_RADIX_QUICK_SORT;279;4301
reverse;1300;QUICKSORT;3563;181156
reverse;1300;MERGESORT;1807;10443
reverse;1300;STRING_QUICK_SORT;1361;53796
reverse;1300;STRING_MERGE_SORT;1952;17515
reverse;1300;MSD_RADIX_SORT;1157;0
reverse;1300;MSD_RADIX_QUICK_SORT;393;10509
almost;1300;QUICKSORT;3648;182437
almost;1300;MERGESORT;1887;13567
almost;1300;STRING_QUICK_SORT;854;33247
almost;1300;STRING_MERGE_SORT;2077;23656
almost;1300;MSD_RADIX_SORT;1109;0
almost;1300;MSD_RADIX_QUICK_SORT;290;5060
prefix;1300;QUICKSORT;10707;529647
prefix;1300;MERGESORT;6531;249080
prefix;1300;STRING_QUICK_SORT;641;38447
prefix;1300;STRING_MERGE_SORT;4792;260147
prefix;1300;MSD_RADIX_SORT;3584;0
prefix;1300;MSD_RADIX_QUICK_SORT;2700;4007
random;1400;QUICKSORT;4923;225531
random;1400;MERGESORT;2279;17579
random;1400;STRING_QUICK_SORT;415;13750
random;1400;STRING_MERGE_SORT;2544;30487
random;1400;MSD_RADIX_SORT;1222;0
random;1400;MSD_RADIX_QUICK_SORT;318;4982
reverse;1400;QUICKSORT;4049;204627
reverse;1400;MERGESORT;1968;11489
reverse;1400;STRING_QUICK_SORT;1575;61084
reverse;1400;STRING_MERGE_SORT;2072;19197
reverse;1400;MSD_RADIX_SORT;1294;0
reverse;1400;MSD_RADIX_QUICK_SORT;437;11886
almost;1400;QUICKSORT;3816;194033
almost;1400;MERGESORT;2055;14845
almost;1400;STRING_QUICK_SORT;566;21827
almost;1400;STRING_MERGE_SORT;2241;25638
almost;1400;MSD_RADIX_SORT;1228;0
almost;1400;MSD_RADIX_QUICK_SORT;314;5684
prefix;1400;QUICKSORT;11525;580599
prefix;1400;MERGESORT;7135;271764
prefix;1400;STRING_QUICK_SORT;694;41251
prefix;1400;STRING_MERGE_SORT;5103;283830
prefix;1400;MSD_RADIX_SORT;3863;0
prefix;1400;MSD_RADIX_QUICK_SORT;2931;4575
random;1500;QUICKSORT;4950;228817
random;1500;MERGESORT;2417;19144
random;1500;STRING_QUICK_SORT;527;17219
random;1500;STRING_MERGE_SORT;2731;33088
random;1500;MSD_RADIX_SORT;1361;0
random;1500;MSD_RADIX_QUICK_SORT;335;5406
reverse;1500;QUICKSORT;4690;231694
reverse;1500;MERGESORT;2089;12334
reverse;1500;STRING_QUICK_SORT;1586;64633
reverse;1500;STRING_MERGE_SORT;2224;20622
reverse;1500;MSD_RADIX_SORT;1368;0
reverse;1500;MSD_RADIX_QUICK_SORT;471;13581
almost;1500;QUICKSORT;4402;216770
almost;1500;MERGESORT;2212;16526
almost;1500;STRING_QUICK_SORT;1239;48536
almost;1500;STRING_MERGE_SORT;2442;28604
almost;1500;MSD_RADIX_SORT;1329;0
almost;1500;MSD_RADIX_QUICK_SORT;346;6320
prefix;1500;QUICKSORT;12187;596792
prefix;1500;MERGESORT;7753;293834
prefix;1500;STRING_QUICK_SORT;723;44162
prefix;1500;STRING_MERGE_SORT;5493;306900
prefix;1500;MSD_RADIX_SORT;4188;0
prefix;1500;MSD_RADIX_QUICK_SORT;3264;5009
random;1600;QUICKSORT;5384;254495
random;1600;MERGESORT;2587;20689
random;1600;STRING_QUICK_SORT;498;16129
random;1600;STRING_MERGE_SORT;3152;35716
random;1600;MSD_RADIX_SORT;1630;0
random;1600;MSD_RADIX_QUICK_SORT;373;5907
reverse;1600;QUICKSORT;5192;239173
reverse;1600;MERGESORT;2564;13293
reverse;1600;STRING_QUICK_SORT;1722;69742
reverse;1600;STRING_MERGE_SORT;2410;22189
reverse;1600;MSD_RADIX_SORT;1500;0
reverse;1600;MSD_RADIX_QUICK_SORT;526;15048
almost;1600;QUICKSORT;4768;236776
almost;1600;MERGESORT;2398;17574
almost;1600;STRING_QUICK_SORT;1138;44965
almost;1600;STRING_MERGE_SORT;2661;30397
almost;1600;MSD_RADIX_SORT;1349;0
almost;1600;MSD_RADIX_QUICK_SORT;376;6922
prefix;1600;QUICKSORT;13321;672349
prefix;1600;MERGESORT;8155;317484
prefix;1600;STRING_QUICK_SORT;778;47197
prefix;1600;STRING_MERGE_SORT;6168;331647
prefix;1600;MSD_RADIX_SORT;4460;0
prefix;1600;MSD_RADIX_QUICK_SORT;3353;5499
random;1700;QUICKSORT;5612;264445
random;1700;MERGESORT;2847;22361
random;1700;STRING_QUICK_SORT;560;17698
random;1700;STRING_MERGE_SORT;3155;38486
random;1700;MSD_RADIX_SORT;1656;0
random;1700;MSD_RADIX_QUICK_SORT;408;6291
reverse;1700;QUICKSORT;4834;239059
reverse;1700;MERGESORT;2416;14284
reverse;1700;STRING_QUICK_SORT;1733;72383
reverse;1700;STRING_MERGE_SORT;2577;23800
reverse;1700;MSD_RADIX_SORT;1709;0
reverse;1700;MSD_RADIX_QUICK_SORT;573;17225
